change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
terminator|null
getpid|null
programme|n.v.program程序,编程
fltdiv|null
individually|null
renames|null
terminate|v.停止,结束,终止
purpose|n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心
continuation|n.继续,续集,延长,延长物,扩建物,附加部分,(报刊等的)续刊、增刊,续篇
getprp|null
fltmult|null
ANSI|null
ln|null
llib|null
unused|null
lsubs|null
lm|null
unreachable|null
LINTLIBRARY|null
preprocessor|null
lkey|null
lpp|null
notused|null
olibrary|null
uname|null
dname|null
header|null
ntnumber|null
lcrses|null
IDirectory|null
ma|null
qdbcs|null
nlnumber|null
lansi|null
xlc|null
cpp|null
ldos|null
lLibrary|null
style|n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流使铁笔作装饰画
ndnumber|null
nnnumber|null
lintstdlib|null
varargsnumber|null
occurring|null
predefined|null
wk|null
separately|adv.个别地分离地
wd|null
heuristic|null
notreached|null
lx|null
procedure|n.程序,手续
superset|null
mask|n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会
nonstandard|null
argsused|null
notdefined|null
stricter|null
ptr|null
subset|null
problematic|adj.问题的,有疑问的
undefined|null
plug|vt.堵,塞,插上,插栓n.塞子,插头,插销
application|n.请求,申请,申请表,应用,运用,施用,敷用应用,应用程序,应用软件
workaround|null
development|n.发展
annotation|n.注解,评注注解,注释
correctly|adv.恰当地,正确地
click|v.发出滴答声n.滴答声
develop|vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来
commit|vt.犯(错误),干(坏事),把...交托给,提交,答应负责
maxpermsize|null
wizard|n.神汉,男巫,术士,奇才adj.男巫的,巫术的,有魔力的
discussion|n.讨论
due|n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的
limitation|n.限制,局限性
termination|n.终止
solve|vt.解决,解答
backup|n.后援,支持,阻塞vt.做备份adj.候补的,支持性的[计]文件备份
design|n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思
lucene|null
ext|null
usable|null
hp|null
zip|[计]一种程序压缩的档案文件格式n.拉链v.拉开或拉上
dom|null
ux|null
ljava|null
identified|鉴定
Japanese|adj.日本的,日本人的,日语的n.日本人,日语,日文
pre|null
html|null
gui|null
compression|n.浓缩,压缩,压榨,[机](发动机,如内燃机中工作液体的)压缩,密集
opt|vi.选择
tar|[计]一种压缩文件的扩展名n.焦油,柏油
unreliable|null
goto|null
modern|n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的
servlet|null
rename|null
pack|n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装背包
custom|n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的
headless|null
achieve|vt.完成,达到
recent|adj.新近的,近来的
microsoft|null
mycallback|null
getmethodid|null
widget|null
dependence|n.依靠,依赖,信任,信赖
channel|n.海峡,水道,沟,路线vt.引导,开导,形成河道信道,频道
gc|null
codec|null
compete|vi.比赛,竞争
computer|n.计算机,电脑
scrollbar|null
yourclassloader|null
baseline|null
bean|n.豆,豆形果实
eg|null
altered|改变
newer|null
ca|null
toolbar|null
httpclient|null
basic|n.基本,要素,基础adj.基本的,碱性的n.[计]BASIC语言,基本高级语言
initialize|vt.初始化
rcp|null
bytecode|null
overflow|n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢
canwrite|null
gdk|null
fullversion|null
gcc|null
reset|null
suceeded|null
classname|null
texteditor|null
slowdown|null
weave|n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物
delay|v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞
debian|null
simpler|null
filebuffers|null
wiki|null
administrator|n.管理人,行政官
pdf|null
bert|null
prince|n.王子
butteridge|null
fleet|n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过
kurt|null
smallways|null
airship|null
grubb|null
york|null
tom|null
asiatic|null
bicycle|n.脚踏车,自行车
motor|n.发动机,电动机
island|n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立
edna|null
America|n.<美>美国,美洲(包括北美和南美洲)
cabin|n.小屋,船舱
ave|null
officer|n.政府官员,军官,警官,船长vt.指挥
vaterland|null
rope|n.绳,索,绳索v.围起
park|n.公园,停车场,炮场vt.停放(汽车等)
chap|n.<俗>伙伴,家伙,小伙子,颚,颊v.(使)皲裂
vanish|vi.消失,突然不见,[数]成为零n.[语]弱化音
aeroplane|n.飞机
bridge|n.桥,船桥,鼻梁,桥牌vt.架桥,渡过
mono|null
ere|null
niagara|null
destruction|n.破坏,毁灭
British|adj.大不列颠的,英国的,英国人的
realise|v.觉悟,明白
ad|n.广告[域]Andorra,安道尔abbr.[军]AirDefense,防空
gaw|null
england|null
ought|aux.(～to[verb])应当,应该
americans|null
vast|adj.巨大的,辽阔的,大量的,巨额的
cease|v.停止,终了
bomb|n.炸弹vt.投弹于,轰炸
germany|null
explosive|adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药
haf|null
couldn|null
civilisation|n.<主英>civilization
locker|n.上锁的人,有锁的橱柜,锁扣装置,有锁的存物柜
laurier|null
government|n.政府,<英>内阁,政治,政体
ze|null
broke|adj.一文不名的vbl.break的过去式
von|null
empire|n.帝国,帝权
flew|vbl.fly的过去式
regard|n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系
bullet|n.子弹
Europe|n.欧洲
repair|n.修理,修补vt.修理,修补,补救,纠正
progress|n.前进,进步,发展vi.前进,进步,进行
magazine|n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒
goat|n.山羊,<俚>色鬼,<美俚>替罪羊
cable|n.电缆,海底电报,缆,索v.打(海底)电报
ahead|adj.adv.在前,向前,提前,在前面
torn|vbl.tear的过去分词
saddle|n.鞍,鞍状物v.承受
steam|n.蒸汽,水汽vi.蒸发vt.蒸
purple|adj.紫色的n.紫色
cigarette|n.香烟,纸烟
desert|n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差
silly|adj.愚蠢的,无聊的,失去知觉的,无助的
Asia|n.亚洲
wear|vt.穿,戴v.(～out)磨损,用旧,(～out)穿着
beef|n.牛肉
height|n.高度,海拔,高地(常用复数),顶点
engineer|n.工程师,技师,火车司机,轮机员,工兵
considerable|adj.相当大(或多)的,值得考虑的,相当可观的
corn|n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)
petrol|n.<英>汽油（<美>gasoline）
brown|n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑
stock|n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购
national|adj.国家的,国立[有]的,民族的
cliff|n.悬崖,绝壁
scale|n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量
fragment|n.碎片,断片,片段
seize|v.抓住,逮住,夺取vt.没收,查封
series|n.连续,系列,丛书,级数
southward|adv.向南adj.向南的
hotel|n.旅馆,客栈,<俚>监狱
mess|n.混乱,脏乱v.弄乱
suit|v.合适,适合,相配,合式,适宜于n.一套衣服
eagle|n.鹰,鹰状标饰
personal|adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的
ladder|n.梯子,阶梯vi.袜子抽丝,装设梯子
wireless|adj.无线的
upset|vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱
pound|n.磅,英镑,重击,鱼塘,兽栏,拘留所vt.强烈打击,捣烂,监禁,关入栏vi.连续重击,连续敲打,苦干
price|n.价格,价钱,代价vt.给...定价,问...的价格,标明价格
multitude|n.多数,群众
band|n.带子,镶边,波段,队,乐队v.联合,结合
blaze|n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布
lot|n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄
bandage|n.绷带
powerful|adj.强大的,有力的
advance|n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的预付(款项)
cheer|n.愉快,欢呼v.(使)快活,(对)欢呼
blessed|adj.受祝福的
concern|vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是
scheme|n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划
office|n.办公室,办事处,事务所,<英>政府机关,部,公职,职责,帮助
meant|vbl.mean的过去式和过去分词
immediately|adv.立即,马上,直接地
sink|vi.沉下,(使)下沉n.水槽,水池接收器
paint|n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述
ineffectual|adj.无效的,不成功的
nut|n.坚果,螺母,螺帽,难解的问题
beach|n.海滩
northward|null
sank|vbl.sink的过去式
grave|n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记
darken|v.(使)变暗,(使)变黑,处于暗淡之中
surrender|vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降投降算了
uniform|adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服
shock|n.打击,震动,冲突,休克,突击,禾束堆,乱蓬的头发vt.使震动,使休克,使受电击,震惊得vi.震动,吓人adj.蓬乱的,浓密的
revolver|n.连发左轮手枪，旋转者，旋转式装置
whisper|n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说
hen|n.母鸡,雌鸟
twist|n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形
navy|n.海军
heroic|adj.英雄的,英勇的
degree|n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数
swordsman|null
track|n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径vt.循路而行,追踪,通过,用纤拉vi.追踪,留下足迹,走
fro|adv.往,去,回,向后
flare|n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开
evident|adj.明显的,显然的
captain|n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅
biscuit|n.饼干,小点心
pursue|vt.追赶,追踪,追击,继续,从事
shilling|n.先令(1971年以前的英国货币单位)
coast|n.海岸,滑坡v.沿海岸而行
measure|n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量
tower|n.塔,城堡
pump|n.泵,抽水机vt.(用泵)抽(水),抽吸
trade|n.贸易,商业,交易,生意,职业,行业,[气]信风,顾客vi.交易,买卖,经商,对换,购物vt.用...进行交换
thunder|n.雷,雷声,轰隆声vi.打雷,雷鸣
factory|n.工厂,制造厂,商住花园外的代理
cushion|n.垫子,软垫,衬垫v.加衬垫
grocer|n.食品商,杂货店
weight|n.重力,重量,分量,砝码,重要(性),势力,负担,重累
ascent|n.上升,(地位,声望等的)提高,攀登,上坡路
steady|adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固
chest|n.胸腔,胸膛,箱,柜
song|n.歌,歌曲
bet|n.赌,打赌v.赌,赌钱
straw|n.稻草,麦杆
economic|adj.经济(上)的,产供销的,经济学的
moreover|adv.而且,此外
citizen|n.市民,公民
aunt|n.姑妈,伯母,舅妈,阿姨
disorder|n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱
hole|n.洞,孔,突破口v.凿洞
cart|n.大车,手推车vt.用车装载
mostly|adv.主要地,大部分,通常
pig|n.猪,猪肉,贪婪的人v.生小猪,贪婪地吃
quantity|n.量,数量
swing|v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动
fist|n.拳头,手,抓住,抓牢vt.拳打,握成拳,紧握
steadily|adv.稳定地,有规则地
wealth|n.财富,财产,大量
cock|n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起
handful|n.一把,少数
eleven|n.十一
limp|adj.柔软的,易曲的vi.跛行
german|同父母的,同(外)祖父母的
coral|n.珊瑚,珊瑚虫
savage|adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人
reef|n.暗礁,收帆v.收(帆)
schooner|n.纵帆船,大酒杯
canoe|n.独木舟,轻舟
cocoa|n.可可粉,可可饮料,可可豆
bower|n.凉亭
missionary|adj.传教的,传教士的n.传教士
oar|n.桨,橹
pirate|n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗
spear|n.矛,枪
jack|n.(J-)杰克(男子名,也特指各种男性工人),插孔,插座,起重器,千斤顶,男人,(船舰上悬挂的)国旗vt.(用起重器)抬起,提醒,增加,放弃,提高adj.雄的插座,插孔
peterkin|null
boat|n.小船,艇v.划船
ralph|null
observe|vt.观察,观测,遵守,评述,说
club|n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用
dive|vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲
avatea|null
tararo|null
lad|n.少年,青年男子,<口>伙计，家伙（呢称）
board|n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)
breeze|n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走
crew|n.全体人员,(工作)队vbl.crow的过去式
paddle|n.短桨,划桨,明轮翼vi.划桨,戏水,涉水vt.用桨划,搅,拌
shark|n.[鱼]鲨鱼,骗子<俚>内行,专家v.敲诈
scarcely|adv.几乎不,简直没有
bound|n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制
ashore|adv.向岸地,在岸上地
storm|n.暴风雨,暴风雪v.狂怒咆哮abbr.[军]Sensor,Tank,Off-RouteMine,路外反坦克雷传感器
voyage|n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过
pacific|adj.和平的,平静的n.[theP～]太平洋,[mid-～]中太平洋
inquire|v.询问,问明,查究
bloody|adj.血腥的,嗜杀的,有血的,<英鄙>该死的,非常的
anchor|n.锚v.抛锚,锚定
scene|n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置
supper|n.晚餐
enormous|adj.巨大的,庞大的,<古>极恶的,凶暴的
shelter|n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避
hallo|int.喂,哈罗
aboard|adv.在船(飞机、车)上,上船(飞机、车)prep.在(船、飞机、车)上,上(船、飞机、车)
temple|n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角
confess|v.承认,坦白,忏悔
breast|n.胸部,乳房,胸怀,心情vt.以胸对着,对付
wreck|n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁
tank|n.(盛液体,气体的大容器)桶、箱、罐、槽,池塘,坦克,战车,柜,储水池vt.储于槽中,击败vi.大量喝酒
wash|n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的
stem|n.茎,干,词干,茎干v.滋生,阻止
mention|vt.提及,说起n.提及,说起v.论及,提及
distribute|vt.分发,分配,散布,分布,分类,分区v.分发
apparently|adv.显然地
anxiety|n.忧虑,焦急,渴望,热望
nevertheless|conj.然而,不过adv.仍然,不过
Christian|n.基督徒,信徒adj.基督教的,信基督教的
numerous|adj.众多的,许多的,无数的
flat|adj.平坦的,扁平的,单调的,倒下的,浅的,干脆的,无聊的,无力的adv.平直地,仰卧地,恰恰,正好,断然地n.平面,平地,一层,公寓v.(使)变平,(使)降半音
throat|n.咽喉,喉咙,嗓音,窄路,口子vt.用喉音说,开沟于
dreadful|adj.可怕的,<口>讨厌的
frightful|adj.可怕的,非常的
render|vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底
entrance|n.入口,门口,进入
awoke|[awake的过去式及过去分词,见awake
mate|n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合
stick|n.棍,棒,手杖v.粘住,粘贴vt.刺,戳
delightful|adj.令人愉快的,可喜的
remarkably|null
torch|n.火把,启发之物vi.像火炬一样燃烧vt.用火炬点燃
swallow|n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下
literary|adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的
bible|圣经
shower|n.阵雨,淋浴,(一)阵,(一)大批vt.大量地给与
leap|v.跳,跳越,跳跃n.跳跃,飞跃
cord|n.绳索,束缚
bake|v.烘焙,烤,烧硬
preparation|n.准备,预备
amongst|prep.在...中间,在...之中
immense|adj.极广大的,无边的,<口>非常好的
palm|n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混
cottage|n.村舍,小别墅
gentle|adj.温和的,文雅的
observation|n.观察,观测,观察资料(或报告)
earnest|adj.认真的,热心的,重要的n.真挚,定金,认真,热心
material|n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的
crest|n.鸟冠,盔上的装饰(如羽毛),顶部,顶峰,浪头vi.到达绝顶vt.加以顶饰
brow|n.眉毛,额,(面部)表情
wound|n.创伤,伤口vt.伤,伤寒v.击伤
express|adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式
summit|n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的
hut|n.小屋,棚屋
sandal|n.凉鞋,檀香,便鞋v.穿上便鞋
rough|adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的v.大体描述adv.粗糙地
luxuriant|adj.丰产的,丰富的,肥沃的,奢华的
taste|v.品尝,辨味,(of)有...味道,领略vt.体验,感到n.味道,味觉
bounded|有界限的,有限制的
article|n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的
actually|adv.实际上,事实上,竟然,居然,如今
busily|adv.忙碌地
firmly|null
excellent|adj.卓越的,极好的
afford|vt.提供,给予,供应得起
nay|null
www|null
VIII|null
jmx|null
virtual|adj.虚的,实质的,[物]有效的,事实上的
logging|null
jconsole|null
microsystems|null
snmp|null
demo|n.演示,民主党员,样本唱片
mbean|null
technology|n.工艺,科技,技术
locally|null
remotely|null
introduce|vt.介绍,传入,引进,提出
jstatd|null
loggingmxbean|null
mbeans|null
component|n.成分adj.组成的,构成的
jstat|null
jps|null
I|罗马数字
II|罗马数字
III|罗马数字
IV|罗马数字
V|罗马数字
VI|罗马数字
VII|罗马数字
VIII|罗马数字
IX|罗马数字
X|罗马数字
XI|罗马数字
XII|罗马数字
XIII|罗马数字
XIV|罗马数字
XV|罗马数字
XVI|罗马数字
XVII|罗马数字
XVIII|罗马数字
XIX|罗马数字
XX|罗马数字
XXI|罗马数字
XXII|罗马数字
XXIII|罗马数字
XXIV|罗马数字
XXV|罗马数字
XXVI|罗马数字
XXVII|罗马数字
XXVIII|罗马数字
XXIX|罗马数字
XXX|罗马数字
XXXI|罗马数字
XXXII|罗马数字
XXXIII|罗马数字
XXXIV|罗马数字
XXXV|罗马数字
XXXVI|罗马数字
XXXVII|罗马数字
XXXVIII|罗马数字
XXXIX|罗马数字
XL|罗马数字
XLI|罗马数字
XLII|罗马数字
XLIII|罗马数字
XLIV|罗马数字
XLV|罗马数字
XLVI|罗马数字
XLVII|罗马数字
XLVIII|罗马数字
XLIX|罗马数字
L|罗马数字
LI|罗马数字
LII|罗马数字
LIII|罗马数字
LIV|罗马数字
LV|罗马数字
LVI|罗马数字
LVII|罗马数字
LVIII|罗马数字
LIX|罗马数字
LX|罗马数字
LXI|罗马数字
LXII|罗马数字
LXIII|罗马数字
LXIV|罗马数字
LXV|罗马数字
LXVI|罗马数字
LXVII|罗马数字
LXVIII|罗马数字
LXIX|罗马数字
LXX|罗马数字
LXXI|罗马数字
LXXII|罗马数字
LXXIII|罗马数字
LXXIV|罗马数字
LXXV|罗马数字
LXXVI|罗马数字
LXXVII|罗马数字
LXXVIII|罗马数字
LXXIX|罗马数字
LXXX|罗马数字
LXXXI|罗马数字
LXXXII|罗马数字
LXXXIII|罗马数字
LXXXIV|罗马数字
LXXXV|罗马数字
LXXXVI|罗马数字
LXXXVII|罗马数字
LXXXVIII|罗马数字
LXXXIX|罗马数字
LXL|罗马数字
LXLI|罗马数字
LXLII|罗马数字
LXLIII|罗马数字
LXLIV|罗马数字
LXLV|罗马数字
LXLVI|罗马数字
LXLVII|罗马数字
LXLVIII|罗马数字
LXLIX|罗马数字
C|罗马数字
CI|罗马数字
CII|罗马数字
CIII|罗马数字
CIV|罗马数字
CV|罗马数字
CVI|罗马数字
CVII|罗马数字
CVIII|罗马数字
CIX|罗马数字
CX|罗马数字
CXI|罗马数字
CXII|罗马数字
CXIII|罗马数字
CXIV|罗马数字
CXV|罗马数字
CXVI|罗马数字
CXVII|罗马数字
CXVIII|罗马数字
CXIX|罗马数字
CXX|罗马数字
CXXI|罗马数字
CXXII|罗马数字
CXXIII|罗马数字
CXXIV|罗马数字
CXXV|罗马数字
CXXVI|罗马数字
CXXVII|罗马数字
CXXVIII|罗马数字
CXXIX|罗马数字
CXXX|罗马数字
CXXXI|罗马数字
CXXXII|罗马数字
CXXXIII|罗马数字
CXXXIV|罗马数字
CXXXV|罗马数字
CXXXVI|罗马数字
CXXXVII|罗马数字
CXXXVIII|罗马数字
CXXXIX|罗马数字
CXL|罗马数字
CXLI|罗马数字
CXLII|罗马数字
CXLIII|罗马数字
CXLIV|罗马数字
CXLV|罗马数字
CXLVI|罗马数字
CXLVII|罗马数字
CXLVIII|罗马数字
CXLIX|罗马数字
CL|罗马数字
CLI|罗马数字
CLII|罗马数字
CLIII|罗马数字
CLIV|罗马数字
CLV|罗马数字
CLVI|罗马数字
CLVII|罗马数字
CLVIII|罗马数字
CLIX|罗马数字
CLX|罗马数字
CLXI|罗马数字
CLXII|罗马数字
CLXIII|罗马数字
CLXIV|罗马数字
CLXV|罗马数字
CLXVI|罗马数字
CLXVII|罗马数字
CLXVIII|罗马数字
CLXIX|罗马数字
CLXX|罗马数字
CLXXI|罗马数字
CLXXII|罗马数字
CLXXIII|罗马数字
CLXXIV|罗马数字
CLXXV|罗马数字
CLXXVI|罗马数字
CLXXVII|罗马数字
CLXXVIII|罗马数字
CLXXIX|罗马数字
CLXXX|罗马数字
CLXXXI|罗马数字
CLXXXII|罗马数字
CLXXXIII|罗马数字
CLXXXIV|罗马数字
CLXXXV|罗马数字
CLXXXVI|罗马数字
CLXXXVII|罗马数字
CLXXXVIII|罗马数字
CLXXXIX|罗马数字
CLXL|罗马数字
CLXLI|罗马数字
CLXLII|罗马数字
CLXLIII|罗马数字
CLXLIV|罗马数字
CLXLV|罗马数字
CLXLVI|罗马数字
CLXLVII|罗马数字
CLXLVIII|罗马数字
CLXLIX|罗马数字
CC|罗马数字
springframework|null
xml|null
transaction|n.办理,处理,会报,学报,交易,事务,处理事务
aop|null
schema|n.计划
framework|n.构架,框架,结构
dependency|n.依靠,信赖,从属,从属物,属国,属地
ref|null
scope|n.(活动)范围,机会,余地
datasource|null
jdbc|null
aspect|n.样子,外表,面貌,(问题等的)方面
mvc|null
pointcut|null
aspectj|null
applicationcontext|null
constructor|[计]构造器
foo|null
declare|vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物
jms|null
register|n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号
url|null
xmlns|null
inject|vt.注射,注入
transactional|null
advisor|n.顾问,<美>(学生的)指导老师
configure|null
actor|n.男演员,行动者,参与者
portlet|null
xsd|null
jdbctemplate|null
injection|n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道
dynamic|adj.动力的,动力学的,动态的
hibernate|v.冬眠
td|null
handler|null
annotated|有评注的,有注解的
jndi|null
ejb|null
ioc|null
collection|n.收藏,征收,搜集品,捐款
sql|null
introduction|n.介绍,传入,初步,导言,绪论,入门
integration|n.综合
xsi|null
listener|n.收听者,听众
autowired|null
pointcuts|null
validation|n.确认
driven|adj.受到驱策的vbl.drive的过去分词
singleton|null
requestmapping|null
correspond|vi.符合,协调,通信,相当,相应
parser|null
template|null
namespace|null
inf|null
explicitly|adv.明白地,明确地
interceptor|null
appropriate|adj.适当的
prototype|n.原型
configuring|null
invocation|n.祈祷,符咒
tune|n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪
statistics|n.统计学,统计表
snapshot|n.快照,急射,简单印象
addm|null
workload|n.工作量
recommendation|n.推荐,介绍(信),劝告,建议
identify|vt.识别,鉴别,把...和...看成一样v.确定
alert|adj.提防的,警惕的n.警惕,警报
schedule|n.时间表,进度表v.确定时间
analysis|n.分析,分解
utilization|n.利用
review|vt.回顾,复习n.回顾,复习,评论
repository|n.贮藏室,智囊团,知识库,仓库
awr|null
analyze|vt.分析,分解
diagnostic|adj.诊断的
module|n.模数,模块,登月舱,指令舱
db|null
mcmurdo|人名
holmes|人名
douglas|人名
mcginty|人名
watson|人名
baldwin|人名
macdonald|人名
bodymaster|人名
morris|人名
chicago|人名
ettie|人名
birlstone|人名，地名？
vermissa|名称
maybe|adv.大概,或许n.疑虑
society|n.社会,...会,...社,友伴,交际,社交界,上流社会
scanlan|人名
instant|adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的
detective|n.侦探adj.侦探的
councillor|人名
scowrers|人名
anyhow|adv.无论如何,总之
cecil|人名
edwards|人名
porlock|人名
moriarty|人名
county|n.县,郡
shafter|人名地名
john|人名
marvin|人名
birdy|鸟多
ted|人名
guard|n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫
dumb|adj.哑的,无说话能力的,不说话的,无声音的
claim|n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要
professor|n.教授,公开表示信仰的人
pinkerton|人名
drawn|vbl.draw的过去分词adj.拔出的
dollar|n.元,美元
union|n.联合,合并,结合,联盟,协会
barrel|n.桶vt.装入桶内
folk|n.人们,亲属(复数),民族adj.民间的
chairman|n.主席,会长
sherlock|人名
gar|人名
gray|n.灰色,暗淡,灰暗adj.灰色的,灰白的,老的,老练的,阴沉的,<美俚>广告商的,广告业的v.(使)变灰色
sake|n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒
capable|adj.有能力的,能干的,有可能的,可以...的
allen|name
sussex|name
gentlemen|先生
wilson|name
amazement|n.惊愕,惊异
ancient|adj.远古的,旧的
township|n.镇区
married|adj.已婚的,婚姻的
envelope|n.信封,封套,封袋,[天]包层,[数]包迹,[生]包膜
dangerous|adj.危险的
yourselves|yourselves
roar|n.吼叫,怒号vi.吼叫,怒号v.滚动,咆哮
advise|vt.劝告,忠告,警告,建议
brethren|n.弟兄们,同胞
forever|adv.永远,永恒,永久,常常,始终
freeman|市民
concealed|隐藏
brand|n.商标,牌子,烙印vt.打火印,污辱
swear|vi.诅咒v.宣誓,发誓
singular|n.单数adj.单一的,非凡的,异常的,持异议的
tragedy|n.悲剧,惨案,悲惨,灾难
